甯	甯 宁
畂	亩
畆	亩
畊	耕
畝	亩
畢	毕
畧	略
畫	画 划
畮	亩
異	异
畱	留
畵	画
當	当
疇	畴
疊	叠
疋	匹
疎	疏
疘	肛
疿	痱
痐	蛔
痙	痉
痠	酸
痳	淋
痺	痹
痾	疴
瘉	愈
瘋	疯
瘍	疡
瘓	痪
瘖	喑
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癄	憔
癅	瘤
癆	痨
癇	痫
癈	废
癉	瘅
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皐	皋
皚	皑
皜	皓
皰	疱
皷	鼓
皸	皲
皺	皱
盃	杯
盇	盍
盋	钵
盌	碗
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盪	荡
眎	视
眞	真
眡	视
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
睠	眷
瞇	眯
瞖	翳
瞘	眍
瞜	䁖
瞞	瞒
瞭	瞭 了
瞼	睑
矁	瞅
矇	蒙
矓	眬
矙	瞰
矚	瞩
矯	矫
矴	碇
砦	寨
砲	炮
硃	朱
硜	硁
硤	硖
硨	砗
硯	砚
碁	棋
碕	埼
碩	硕
碪	砧
碭	砀
碸	砜
確	确
碼	码
磑	硙
磚	砖
磟	碌
磣	碜
磧	碛
磯	矶
磽	硗
磾	䃅
礄	硚
礎	础
礐	𬒈
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礮	炮
礱	砻
祇	祇 只
祕	秘 祕
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禩	祀
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
秊	年
秌	秋
秔	粳
秖	只
稅	税
稈	秆
稉	粳
稜	棱
稟	禀
稬	糯
稭	秸
種	种
稱	称
稺	稚
稾	稿
穀	谷
穅	糠
穇	䅟
穉	稚
穌	稣
積	积
穎	颖
穠	秾
穡	穑
穢	秽
穤	糯
穨	颓
穩	稳
穫	获
穽	阱
窓	窗
窩	窝
窪	洼
窮	穷
窯	窑
窰	窑
窵	窎
窶	窭
窺	窥
窻	窗
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竚	伫
竝	并
竢	俟
竪	竖
競	竞
筆	笔
筍	笋
筞	策
筦	筦 管
筧	笕
筩	筒
筯	箸
筴	策
箇	个
箋	笺
箏	筝
箒	帚
箠	棰
節	节
範	范
築	筑
篋	箧
篔	筼
篛	箬
篢	𬕂
篤	笃
